StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ConsentForm,DateofConsent,Prolific,AttentionCheck1,Rewrite1,Analysis1,Interpretation1,Confidence1,IsTrue1,Remove1,Rewrite2,Analysis2,Interpretation2,Confidence2,IsTrue2,Remove2,Rewrite3,Analysis3,Interpretation3,Confidence3,IsTrue3,Remove3,Rewrite4,Analysis4,Interpretation4,Confidence4,IsTrue4,Remove4,Rewrite5,Analysis5,Interpretation5,Confidence5,IsTrue5,Remove5,Rewrite6,Analysis6,Interpretation6,Confidence6,IsTrue6,Remove6,Rewrite7,Analysis7,Interpretation7,Confidence7,IsTrue7,Remove7,Rewrite8,Analysis8,Interpretation8,Confidence8,IsTrue8,Remove8,Rewrite9,Analysis9,Interpretation9,Confidence9,IsTrue9,Remove9,Rewrite10,Interpretation10,Confidence10,IsTrue10,Remove10,Rewrite11,Interpretation11,Confidence11,IsTrue11,Remove11,Rewrite12,Interpretation12,Confidence12,IsTrue12,Remove12,Rewrite13,Interpretation13,Confidence13,IsTrue13,Remove13,Rewrite14,Interpretation14,Confidence14,IsTrue14,Remove14,Rewrite15,Interpretation15,Confidence15,IsTrue15,Remove15,Rewrite16,Interpretation16,Confidence16,IsTrue16,Remove16,Rewrite17,Interpretation17,Confidence17,IsTrue17,Remove17,Rewrite18,Interpretation18,Confidence18,IsTrue18,Remove18,Rewrite19,Interpretation19,Confidence19,IsTrue19,Remove19,Rewrite20,Interpretation20,Confidence20,IsTrue20,Remove20,Police1,Police2,Police3,Gender,Age,Race,Country,NativeLanguage,ExposedtoEng,OtherLanguages,EngFrequency,PotentialConflicts,PotentialConflicts_1_TEXT,Seriousness,QuietEnvironment,Distracted,CommentFeedback,CommentFeedback,PROLIFIC_PID
2/16/25 17:43,2/16/25 17:50,0,96.33.160.178,100,446,1,2/16/25 17:50,R_6EI3K4CPCnYDG13,,,,,42.1245,-72.4464,anonymous,EN,1,2/16/25,6690c433c8bedd2996d7f973,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A shelter with good conditions is a necessity and people should not be denied refuge.,1,7,3,3,,,,,,,,,,,,,,,,,,,,,2,2,2,2,18,"1,6",1,English,0,N/A,100%,2,,4,1,2,NA,NA,6690c433c8bedd2996d7f973
2/16/25 17:44,2/16/25 17:55,0,174.228.160.251,100,662,1,2/16/25 17:55,R_7y2U8mWgPKOT1Bf,,,,,28.53,-81.4807,anonymous,EN,1,2/16/25,5b26da1934ffd00001b45d8d,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It is important to ensure that communities have access to clean water through a well-maintained distribution system, and they should not be prohibited from using this vital resource.",1,5,1,5,,,,,,2,2,2,1,40,1,1,English,0,I don't speak any other language,100%,2,,4,1,2,NA,NA,5b26da1934ffd00001b45d8d
2/16/25 17:51,2/16/25 17:56,0,76.228.106.188,100,301,1,2/16/25 17:56,R_6a0GV7Ym3EkQKit,,,,,35.8677,-86.4174,anonymous,EN,1,2/16/25,674b71f1c045ef7f014cc567,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scientists need to know how to use a telescope to do their job.,2,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,32,1,1,English,0,None,100%,2,,4,1,2,NA,NA,674b71f1c045ef7f014cc567
2/16/25 18:43,2/16/25 18:47,0,134.197.0.151,100,240,1,2/16/25 18:47,R_5PYKkN4jYUox9pT,,,,,39.5381,-119.8365,anonymous,EN,1,16-Feb-25,66908468a367218ba2c439be,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bee hive owners have the right to take care of and harvest from their beehives.,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,20,4,1,English,0,N/A,N/A,2,,4,1,1,NA,NA,66908468a367218ba2c439be
2/16/25 18:42,2/16/25 18:47,0,74.69.6.82,100,314,1,2/16/25 18:47,R_1Lhhs0130zePlbs,,,,,42.8656,-73.7709,anonymous,EN,1,2/16/25,63d3fa2d13e1ebedf2f56806,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The community needs to have access to the local weather station, as it alerts them to dangerous storms. ",2,6,1,5,,,,,,,,,,,,,,,,2,2,1,2,31,1,1,English,0,None,100%,2,,4,1,2,NA,NA,63d3fa2d13e1ebedf2f56806
2/16/25 18:43,2/16/25 18:49,0,68.57.51.161,100,324,1,2/16/25 18:49,R_1N9YgUUuXBOI3oo,,,,,37.0634,-88.6632,anonymous,EN,1,2/16/25,67ad37d36b528753a6c432bc,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Students, w/o access to education within our library must not be restricted. ",2,3,3,3,,,,,,,,,,,2,2,1,2,30,1,1,English,0,N/A,100%,2,,4,1,2,NA,NA,67ad37d36b528753a6c432bc
2/16/25 18:44,2/16/25 18:49,0,67.169.145.104,100,331,1,2/16/25 18:49,R_3btvNgOMCuzFeMh,,,,,37.0313,-122.1198,anonymous,EN,1,2/16/25,668595376c76d39676d95d54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A busy road used for travel and trade should not be obstructed.,Not Always,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,25,7,1,Spanish,2,None,90%,2,,4,1,2,NA,NA,668595376c76d39676d95d54
2/16/25 18:46,2/16/25 18:49,0,50.40.120.92,100,217,1,2/16/25 18:50,R_5ifY8iaaW0X0IvM,,,,,39.0394,-89.9673,anonymous,EN,1,2/16/25,65ca25d9495bbd05f7fbfb6c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People should have access to and the ability to use a sundial.  ,Always,1,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,32,1,1,English,0,None,100%,2,,4,1,2,NA,NA,65ca25d9495bbd05f7fbfb6c
2/16/25 18:43,2/16/25 18:50,0,76.34.17.106,100,440,1,2/16/25 18:50,R_1sjOuQ29ZKItoAL,,,,,37.9668,-87.4912,anonymous,EN,1,2/16/25,67876285103f57f54f701beb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's absolutely vital for meteorologists to be able to monitor weather conditions, so the careful placement of weathervanes is crucial.",2,3,1,5,2,2,1,1,29,1,1,English ,0,I only speak English ,100%,2,,4,1,2,NA,NA,67876285103f57f54f701beb
2/16/25 18:44,2/16/25 18:50,0,137.83.94.97,100,398,1,2/16/25 18:50,R_3I74H65vvEmJJZP,,,,,39.9422,-104.7854,anonymous,EN,1,2/16/25,65f32fe30e71cd7be2d01508,3,,,,,,,,,,,,,,,,,,,The cultural tradition of passing down knowledge fosters unity in the community and will not be erased. ,Ambiguous,2,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,28,1,1,English ,0,0,100%,2,,4,1,2,Na,Na,65f32fe30e71cd7be2d01508
